+----+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+
| n  |                                                                                                                   Features                                                                                                                  | ccr  |
+----+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+
| 1  |                                                                                                                     [12]                                                                                                                    | 0.31 |
| 2  |                                                                                                                   [12, 5]                                                                                                                   | 0.4  |
| 3  |                                                                                                                 [12, 5, 30]                                                                                                                 | 0.51 |
| 4  |                                                                                                               [12, 5, 30, 34]                                                                                                               | 0.6  |
| 5  |                                                                                                             [12, 5, 30, 34, 42]                                                                                                             | 0.7  |
| 6  |                                                                                                           [12, 5, 30, 34, 42, 45]                                                                                                           | 0.74 |
| 7  |                                                                                                         [12, 5, 30, 34, 42, 45, 10]                                                                                                         | 0.79 |
| 8  |                                                                                                       [12, 5, 30, 34, 42, 45, 10, 44]                                                                                                       | 0.81 |
| 9  |                                                                                                      [12, 5, 30, 34, 42, 45, 10, 44, 7]                                                                                                     | 0.84 |
| 10 |                                                                                                    [12, 5, 30, 34, 42, 45, 10, 44, 7, 57]                                                                                                   | 0.88 |
| 11 |                                                                                                  [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4]                                                                                                  | 0.88 |
| 12 |                                                                                                [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13]                                                                                                | 0.89 |
| 13 |                                                                                               [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6]                                                                                              | 0.91 |
| 14 |                                                                                             [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21]                                                                                            | 0.92 |
| 15 |                                                                                           [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38]                                                                                          | 0.94 |
| 16 |                                                                                         [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41]                                                                                        | 0.95 |
| 17 |                                                                                       [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51]                                                                                      | 0.95 |
| 18 |                                                                                     [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8]                                                                                     | 0.95 |
| 19 |                                                                                    [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2]                                                                                   | 0.94 |
| 20 |                                                                                  [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33]                                                                                 | 0.95 |
| 21 |                                                                                [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16]                                                                               | 0.96 |
| 22 |                                                                              [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3]                                                                              | 0.96 |
| 23 |                                                                             [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9]                                                                            | 0.96 |
| 24 |                                                                           [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23]                                                                          | 0.96 |
| 25 |                                                                         [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26]                                                                        | 0.96 |
| 26 |                                                                       [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1]                                                                       | 0.96 |
| 27 |                                                                     [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19]                                                                     | 0.96 |
| 28 |                                                                   [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11]                                                                   | 0.96 |
| 29 |                                                                 [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24]                                                                 | 0.97 |
| 30 |                                                               [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53]                                                               | 0.98 |
| 31 |                                                             [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18]                                                             | 0.98 |
| 32 |                                                           [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28]                                                           | 0.98 |
| 33 |                                                         [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22]                                                         | 0.98 |
| 34 |                                                       [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37]                                                       | 0.98 |
| 35 |                                                     [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29]                                                     | 0.98 |
| 36 |                                                   [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52]                                                   | 0.98 |
| 37 |                                                 [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58]                                                 | 0.99 |
| 38 |                                               [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35]                                               | 0.99 |
| 39 |                                             [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54]                                             | 0.99 |
| 40 |                                           [12, 5, 30, 34, 42, 45, 10, 44, 7, 57, 4, 13, 6, 21, 38, 41, 51, 8, 2, 33, 16, 3, 9, 23, 26, 1, 19, 11, 24, 53, 18, 28, 22, 37, 29, 52, 58, 35, 54, 49]                                           | 0.99 |
