+----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+
| n  |                                                                                 Features                                                                                | ccr  |
+----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+
| 1  |                                                                                   [1]                                                                                   | 0.34 |
| 2  |                                                                                  [1, 3]                                                                                 | 0.54 |
| 3  |                                                                                [1, 3, 2]                                                                                | 0.63 |
| 4  |                                                                               [1, 3, 2, 6]                                                                              | 0.7  |
| 5  |                                                                             [1, 3, 2, 6, 5]                                                                             | 0.75 |
| 6  |                                                                           [1, 3, 2, 6, 5, 11]                                                                           | 0.8  |
| 7  |                                                                         [1, 3, 2, 6, 5, 11, 27]                                                                         | 0.84 |
| 8  |                                                                        [1, 3, 2, 6, 5, 11, 27, 7]                                                                       | 0.86 |
| 9  |                                                                      [1, 3, 2, 6, 5, 11, 27, 7, 17]                                                                     | 0.88 |
| 10 |                                                                    [1, 3, 2, 6, 5, 11, 27, 7, 17, 46]                                                                   | 0.9  |
| 11 |                                                                  [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19]                                                                 | 0.91 |
| 12 |                                                                [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58]                                                               | 0.92 |
| 13 |                                                              [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31]                                                             | 0.92 |
| 14 |                                                            [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22]                                                           | 0.93 |
| 15 |                                                          [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4]                                                          | 0.94 |
| 16 |                                                        [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45]                                                        | 0.95 |
| 17 |                                                      [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20]                                                      | 0.96 |
| 18 |                                                    [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15]                                                    | 0.96 |
| 19 |                                                  [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25]                                                  | 0.96 |
| 20 |                                                [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28]                                                | 0.96 |
| 21 |                                              [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32]                                              | 0.96 |
| 22 |                                            [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23]                                            | 0.96 |
| 23 |                                          [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23, 35]                                          | 0.96 |
| 24 |                                        [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23, 35, 34]                                        | 0.96 |
| 25 |                                      [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23, 35, 34, 29]                                      | 0.96 |
| 26 |                                    [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23, 35, 34, 29, 38]                                    | 0.97 |
| 27 |                                  [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23, 35, 34, 29, 38, 12]                                  | 0.97 |
| 28 |                                [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23, 35, 34, 29, 38, 12, 47]                                | 0.98 |
| 29 |                              [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23, 35, 34, 29, 38, 12, 47, 51]                              | 0.98 |
| 30 |                            [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23, 35, 34, 29, 38, 12, 47, 51, 53]                            | 0.98 |
| 31 |                          [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23, 35, 34, 29, 38, 12, 47, 51, 53, 50]                          | 0.98 |
| 32 |                        [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23, 35, 34, 29, 38, 12, 47, 51, 53, 50, 36]                        | 0.98 |
| 33 |                      [1, 3, 2, 6, 5, 11, 27, 7, 17, 46, 19, 58, 31, 22, 4, 45, 20, 15, 25, 28, 32, 23, 35, 34, 29, 38, 12, 47, 51, 53, 50, 36, 52]                      | 0.98 |
